date,cryptocurrency,opening_price,closing_price,volume,market_Cap
2023-09-01,Bitcoin,50000,50500,5000000,900000000000
2023-09-01,Ethereum,3200,3300,2000000,400000000000
2023-09-01,Cardano,2.5,2.55,1000000,80000000000
2023-09-01,Ripple,1.2,1.22,800000,50000000000
2023-09-01,Binance Coin,400,410,700000,70000000000
2023-09-02,Bitcoin,50500,51000,5100000,910000000000
2023-09-02,Ethereum,3300,3350,2100000,405000000000
2023-09-02,Cardano,2.55,2.6,1050000,81000000000
2023-09-02,Ripple,1.22,1.25,820000,51000000000
2023-09-02,Binance Coin,410,415,710000,70500000000
2023-09-03,Bitcoin,51000,51500,5200000,920000000000
2023-09-03,Ethereum,3350,3400,2200000,410000000000
2023-09-03,Cardano,2.6,2.65,1100000,82000000000
2023-09-03,Ripple,1.25,1.27,840000,52000000000
2023-09-03,Binance Coin,415,420,720000,71000000000